Product Code,Product Description,Unit Price,Unit
QT-PWR-001,Professional Power Drill 20V Lithium Brushless,4400,PCS
QT-PWR-002,Impact Driver 18V Cordless with LED Light,3800,PCS
QT-PWR-003,Reciprocating Saw 1200W Variable Speed,3400,PCS
QT-PWR-004,Rotary Hammer Drill SDS Plus 800W,5000,PCS
QT-HND-001,Premium Hammer 24oz Titanium Handle,635,PCS
QT-HND-002,Ball Peen Hammer 16oz Machinist Grade,475,PCS
QT-HND-003,Rubber Mallet 32oz Non-Marring Head,435,PCS
QT-HND-004,Sledge Hammer 8lb Fiberglass Handle,875,PCS
QT-SAW-001,Hand Saw 22 inch Hardpoint Teeth,535,PCS
QT-SAW-002,Hacksaw Adjustable 12 inch with Blade,395,PCS
QT-SAW-003,Coping Saw with Extra Blades Set,335,SET
QT-MSR-001,Digital Caliper 6 inch Stainless Steel,1400,PCS
QT-MSR-002,Micrometer 0-25mm Digital Display,2000,PCS
QT-MSR-003,Laser Distance Meter 50M Bluetooth,3000,PCS
QT-WRK-001,Work Bench Portable Folding 600lb Capacity,2800,PCS
QT-WRK-002,Tool Chest 7-Drawer Rolling Cabinet,8650,PCS
QT-WRK-003,Tool Box Portable 20 inch Metal,1000,PCS
QT-CLP-001,C-Clamp 6 inch Heavy Duty Steel,315,PCS
QT-CLP-002,Bar Clamp 24 inch Quick Release,735,PCS
QT-CLP-003,Spring Clamp Set 4-Piece Various Sizes,545,SET
QT-CHI-001,Cold Chisel Set 3-Piece Heat Treated,635,SET
QT-CHI-002,Wood Chisel Set 6-Piece Professional,1600,SET
QT-FIL-001,File Set 10-Piece Assorted with Handle,685,SET
QT-PLS-001,Locking Pliers 10 inch Curved Jaw,485,PCS
QT-PLS-002,Wire Stripper Multi-Function 8 inch,525,PCS
QT-PLS-003,Crimping Tool RJ45/RJ11 Professional,685,PCS
QT-SFT-001,Tool Belt Heavy Duty Leather 11-Pocket,1650,PCS
QT-SFT-002,Knee Pads Professional Gel-Filled,685,PAIR
QT-SFT-003,Work Gloves Mechanics XL Box of 12,885,BOX
QT-AIR-001,Air Compressor 50L 2HP Oil-Free,12700,PCS
QT-AIR-002,Pneumatic Nail Gun Brad 18GA,4050,PCS
QT-AIR-003,Air Hose 15M with Quick Connectors,885,PCS
QT-SND-001,Random Orbital Sander 5 inch Electric,2650,PCS
QT-PLN-001,Electric Planer 82mm 900W,3450,PCS
QT-ROU-001,Router 1/4 inch Variable Speed 1850W,5050,PCS
QT-BIT-001,Drill Bit Set HSS 1-13mm 25-Piece,1450,SET
QT-BIT-002,Masonry Drill Bit Set SDS Plus 10-Piece,1650,SET
QT-BIT-003,Spade Bit Set 6-22mm Wood Boring,885,SET
QT-BLD-001,Circular Saw Blade 7.25 inch 40T Carbide,585,PCS
QT-BLD-002,Jigsaw Blade Set Assorted 20-Piece,485,SET
QT-BLD-003,Reciprocating Saw Blade Set Metal/Wood 12-Piece,685,SET
